Datum,count
Fri 23:52 UTC,1
Fri 23:55 UTC,1
"Fri Apr 07, 1972",1
"Fri Apr 26, 1963",1
"Fri Apr 26, 1985",1
"Fri Aug 06, 1976",1
"Fri Aug 07, 1981",1
"Fri Aug 08, 2003",1
"Fri Aug 22, 1958",1
"Fri Aug 29, 1958",1
"Fri Dec 05, 1980",1
"Fri Dec 20, 1991",1
"Fri Dec 20, 2002",1
"Fri Dec 23, 1988",1
"Fri Feb 03, 2012",1
"Fri Feb 06, 1981",1
"Fri Feb 08, 1985",1
"Fri Jan 22, 2016",1
"Fri Jul 01, 1983",1
"Fri Jul 10, 1964",1
"Fri Jul 25, 1958",1
"Fri Jun 04, 1971",1
"Fri May 04, 1984",1
"Fri Nov 20, 1981",1
"Fri Oct 23, 1964",1
"Fri Sep 25, 2015",1
Mon 00:00 UTC,1
Mon 00:01 UTC,1
Mon 00:06 UTC,1
Mon 00:07 UTC,1
Mon 00:14 UTC,1
Mon 00:16 UTC,1
Mon 00:34 UTC,1
Mon 00:35 UTC,1
Mon 00:40 UTC,1
Mon 00:45 UTC,1
Mon 00:47 UTC,1
Mon 00:50 UTC,2
Mon 00:53 UTC,1
Mon 00:58 UTC,1
Mon 01:00 UTC,2
Mon 01:10 UTC,1
Mon 01:15 UTC,2
Mon 01:19 UTC,1
Mon 01:21 UTC,1
Mon 01:26 UTC,1
Mon 01:33 UTC,1
Mon 01:35 UTC,1
Mon 01:38 UTC,1
Mon 01:40 UTC,2
Mon 01:42 UTC,1
Mon 01:45 UTC,1
Mon 01:50 UTC,1
Mon 02:14 UTC,1
Mon 02:19 UTC,1
Mon 02:21 UTC,1
Mon 02:31 UTC,1
Mon 02:39 UTC,1
Mon 02:45 UTC,2
Mon 02:53 UTC,1
Mon 03:00 UTC,1
Mon 03:07 UTC,1
Mon 03:17 UTC,1
Mon 03:27 UTC,1
Mon 03:37 UTC,1
Mon 03:42 UTC,1
Mon 03:45 UTC,1
Mon 03:50 UTC,1
Mon 03:52 UTC,1
Mon 03:53 UTC,1
Mon 03:56 UTC,1
Mon 03:57 UTC,1
Mon 03:59 UTC,1
Mon 04:03 UTC,1
Mon 04:08 UTC,1
Mon 04:11 UTC,1
Mon 04:13 UTC,1
Mon 04:14 UTC,1
Mon 04:15 UTC,1
Mon 04:19 UTC,1
Mon 04:22 UTC,1
Mon 04:23 UTC,1
Mon 04:29 UTC,1
Mon 04:30 UTC,1
Mon 04:35 UTC,1
Mon 04:41 UTC,1
Mon 04:44 UTC,1
Mon 04:45 UTC,2
Mon 05:00 UTC,2
Mon 05:03 UTC,1
Mon 05:04 UTC,1
Mon 05:08 UTC,1
Mon 05:10 UTC,1
Mon 05:12 UTC,1
Mon 05:15 UTC,1
Mon 05:24 UTC,1
Mon 05:25 UTC,1
Mon 05:35 UTC,1
Mon 05:38 UTC,2
Mon 05:40 UTC,1
Mon 05:42 UTC,1
Mon 05:52 UTC,1
Mon 05:54 UTC,1
Mon 06:02 UTC,1
Mon 06:15 UTC,1
Mon 06:23 UTC,2
Mon 06:32 UTC,1
Mon 06:35 UTC,1
Mon 06:53 UTC,1
Mon 06:55 UTC,1
Mon 07:05 UTC,1
Mon 07:10 UTC,1
Mon 07:16 UTC,1
Mon 07:19 UTC,1
Mon 07:20 UTC,2
Mon 07:22 UTC,1
Mon 07:23 UTC,1
Mon 07:28 UTC,1
Mon 07:29 UTC,2
Mon 07:30 UTC,2
Mon 07:39 UTC,1
Mon 07:40 UTC,1
Mon 07:54 UTC,1
Mon 07:55 UTC,1
Mon 07:58 UTC,1
Mon 07:59 UTC,1
Mon 08:00 UTC,2
Mon 08:08 UTC,1
Mon 08:12 UTC,1
Mon 08:15 UTC,1
Mon 08:29 UTC,1
Mon 08:30 UTC,1
Mon 08:45 UTC,3
Mon 08:49 UTC,1
Mon 08:54 UTC,1
Mon 08:56 UTC,1
Mon 09:13 UTC,1
Mon 09:14 UTC,1
Mon 09:15 UTC,1
Mon 09:25 UTC,1
Mon 09:27 UTC,1
Mon 09:29 UTC,1
Mon 09:31 UTC,1
Mon 09:34 UTC,1
Mon 09:39 UTC,1
Mon 09:40 UTC,3
Mon 09:42 UTC,1
Mon 09:47 UTC,1
Mon 09:50 UTC,1
Mon 10:00 UTC,2
Mon 10:02 UTC,1
Mon 10:05 UTC,1
Mon 10:06 UTC,1
Mon 10:09 UTC,1
Mon 10:10 UTC,2
Mon 10:15 UTC,1
Mon 10:17 UTC,1
Mon 10:19 UTC,1
Mon 10:20 UTC,1
Mon 10:21 UTC,1
Mon 10:23 UTC,1
Mon 10:28 UTC,1
Mon 10:30 UTC,2
Mon 10:31 UTC,1
Mon 10:35 UTC,1
Mon 10:36 UTC,1
Mon 10:40 UTC,1
Mon 11:00 UTC,5
Mon 11:04 UTC,1
Mon 11:15 UTC,1
Mon 11:20 UTC,1
Mon 11:21 UTC,1
Mon 11:22 UTC,1
Mon 11:29 UTC,1
Mon 11:31 UTC,1
Mon 11:33 UTC,1
Mon 11:45 UTC,2
Mon 11:55 UTC,1
Mon 11:58 UTC,1
Mon 11:59 UTC,1
Mon 12:00 UTC,2
Mon 12:01 UTC,1
Mon 12:03 UTC,1
Mon 12:05 UTC,2
Mon 12:08 UTC,2
Mon 12:10 UTC,1
Mon 12:12 UTC,1
Mon 12:14 UTC,1
Mon 12:15 UTC,2
Mon 12:30 UTC,1
Mon 12:31 UTC,1
Mon 12:37 UTC,1
Mon 12:38 UTC,2
Mon 12:40 UTC,1
Mon 12:41 UTC,1
Mon 12:56 UTC,2
Mon 13:00 UTC,1
Mon 13:05 UTC,1
Mon 13:06 UTC,1
Mon 13:07 UTC,1
Mon 13:12 UTC,1
Mon 13:29 UTC,1
Mon 13:30 UTC,1
Mon 13:34 UTC,2
Mon 13:35 UTC,1
Mon 13:48 UTC,2
Mon 13:51 UTC,1
Mon 13:57 UTC,1
Mon 14:00 UTC,4
Mon 14:04 UTC,1
Mon 14:09 UTC,1
Mon 14:15 UTC,2
Mon 14:19 UTC,1
Mon 14:21 UTC,1
Mon 14:27 UTC,1
Mon 14:30 UTC,1
Mon 14:36 UTC,1
Mon 14:39 UTC,1
Mon 14:41 UTC,1
Mon 14:42 UTC,1
Mon 14:50 UTC,1
Mon 14:53 UTC,1
Mon 14:55 UTC,1
Mon 14:56 UTC,1
Mon 14:57 UTC,1
Mon 15:00 UTC,1
Mon 15:04 UTC,1
Mon 15:05 UTC,1
Mon 15:15 UTC,1
Mon 15:52 UTC,1
Mon 16:00 UTC,4
Mon 16:01 UTC,1
Mon 16:02 UTC,2
Mon 16:04 UTC,1
Mon 16:11 UTC,1
Mon 16:15 UTC,1
Mon 16:31 UTC,1
Mon 16:37 UTC,1
Mon 16:40 UTC,1
Mon 16:41 UTC,1
Mon 16:45 UTC,2
Mon 16:49 UTC,1
Mon 16:53 UTC,1
Mon 16:58 UTC,1
Mon 17:08 UTC,1
Mon 17:10 UTC,1
Mon 17:14 UTC,1
